Timestamp,Random Number,What are things that make you glad to live in Grinnell?  ,What things have the greatest positive impact on your quality of life in Grinnell? ,Tell us about a time when you felt particularly connected to the community or proud to live in Grinnell.,Think about a time when you felt particularly connected to the community or proud to live in Grinnell. Tell us.,"Do you think Grinnell has a set of core values? (e.g. what is important, what we believe, principles guiding our behavior) What do you think they are? ","If you have considered moving from Grinnell, what are reasons you decided to stay?"," If you do not currently live here, what changes in the community might cause you to move to Grinnell?  ",Have there been things that have made you consider leaving Grinnell? What were they?,What things have frustrated you about living in Grinnell?,"What things do you think Grinnell is missing – that would benefit you personally if it had?
 ","If funds were unlimited, what changes would you make to improve Grinnell?","If you do not currently live here, what changes in the community would make you more likely to move to Grinnell?","Tell us about you or your group. 
(club affiliation, profession, service group, etc.)

Were you recruited by someone to take the survey? Who?",What aspects of the Grinnell community (positive or negative) do people NOT talk about?,Are there questions we’re not asking that you think we should? Is there anything that you would like to share that you have not?,,Do you live in the city of Grinnell?,"If you are a student, please tell us where"
10/18/22 14:28,1,"Alexandria Minnesota - great summer vibe, lots of lakes, great natural resources, interesting history. Stable economy, stable politics, housing projects that are underway or soon to be, tree planting, and EMS finally being resolved.","Restaurant closures, lack of communication, cooperation among various groups, POW I80 is ineffective and inactive, and no shared direction which is being addressed.","A housing development that attracted people for no other reason than to live at that development. Whether this an eco-community, disconnected from the grid, or even a lake/water feature. ",More housing variety and options. Improved natural resources. Food choices. Can we do something to get the Lang development at the interstate moving.,People and relationships. ,Relationships.,,,Grinnell College sort of dabbles in community development but they need to jump in with both feet. They are smart and well-funded - they can transform this community for the better for everyone.,Thank you.,,,,,,,,
10/20/22 21:53,2,"Many small shops and restaurants where people gather outside and inside. Utilizes alleys for gatherings. Pet friendly bars and restaurants. Central Park kids playing in the water and events held in the park. Lost pet or lost mail/package found by posting on Hey Grinnell social media page and also the community input when disasters like power outages etc. keep everyone informed. Community gatherings like Music in the Park, Farmers Market, parades. ",Not having more nice restaurant choices. Road repairs (finishing) taking too long. No place to eat on Monday nights! Gas prices! ,Mid-level restaurant chains like Applebees or Culver’s. Handyman repair business. ,"Build housing choices: new and programs to remove/replace outdated housing. Create subsidies for business to help with high commercial rents. Establish a taxi service. Fill the Hwy 146 corridor with businesses. Replace  lawyer, accountants, offices in the down town to only retail type businesses. ",Central Park activities. Hospital and health initiative programs.,"Family, the school district and college.","Homecoming events, Ag Day, 4th of July and when things go bad like storms we all come together to help each other.",Extroverted! But also Deep family roots and desire for tradition. Desire for quiet neighborhoods but lively uptown.,"Socioeconomic issues. Not everyone wants to be involved in progress or change. Property taxes confusion: college, churches, city properties. ","If you moved away and came back to live in Grinnell, Why?  Describe your perfect neighborhood, day/night activity. In the past year what could you not do in Grinnell and had to go out of town?",,,,,,,,
11/11/22 8:47,3,"Grinnell College. I believe a college town generates energy and expectations not found in other small midwestern communities.
The proximity to Des Moines, and Iowa City along I-80 make it attractive and challenging to local employers and retailers.",Grinnell College and Ahrens Park.,"My years serving on the Grinnell Newburg school board, and seeing the construction of the new Fine Arts theatre, gymnasium, and science labs.",,I believe quality education is one of our core values even if we sometimes struggle to support financing our public schools.,"Easy living.  It isn't as quaint as we might like to believe, but the location, available health care, senior living options (as I age), and Grinnell College, would be things we would look for if we were to make a move. There are lots of places we like to visit, but few we would call home.",,No. Stay and work to improve what might be lacking.,"Lack of childcare isn't unique to Grinnell, but we've had the same conversation for the last twenty years.  At least three community surveys, and now a fourth, will confirm we lack affordable childcare  for the 8:00 a.m. - 5:00 p.m. work force.  We haven't even tried to address childcare for 2nd and 3rd shifters, in my opinion.",an ocean.,"Pre-school for all 4 year olds, and free childcare for all working parents.",,"I came to Grinnell as a 24 yr. old with a young family and a new job with Delong Sportswear. I'm now a 63 year old self employed real estate broker, still married, and grandfather of two.  Time does fly!",The narrow mindedness of many Grinnellians.,"We are talking about housing in the community, but I believe housing options, both affordable, and higher end, make it easy for some new hires to live outside of Grinnell.",,,
11/11/22 10:49,4,,,,,,,,,,,"covered heated walkways to encourage walking in the winter; have ""walking school busses"" a regular, frequent activity (http://www.walkingschoolbus.org/) to get children used to walking; merchant discounts to people who say they walked to the store instead of drive; encourage large employers to have vans to pick up/drop off employees so they don't drive to work; encourage walking by having people keep a log and earn points for each mile/day; complete the full circle of the bike trail (to Krumm and then connect with the other end of the trail at Rock Creek); have bike trails on Hwy 6 and 146 and connect the trail to the American Discovery Trail (http://www.walkingschoolbus.org/)
",,,,,,,
11/11/22 11:13,5,"Smaller town, but with more amenities than what are found in a lot of small towns.",Being able to dine out and purchase items without having to travel or order online,During the derecho. It was nice to see neighbors helping neighbors and citizens as a whole stepping up to get things done so the city could return to a since normalcy,,"Kindness, serving, investment","My husband was self-employed, and it was much easier for him to do business in Grinnell rather than a larger community. Commute time to work is considerably shorter.",,Most of our family is in the Des Moines area and it would be nice to be closer to them.,"Lately, the continued loss of restaurants and the lack of restaurants open on Sunday and Monday nights. The lack of retail.",A Walgreens or CVS Pharmacy.  Somewhere that you could pop into to purchases medical supplies or even small amounts of grocery items without having to go into Walmart or the grocery stores. Medicap is very expensive.,More economic development to recruit good quality businesses that citizens will want to work for.,,,"The good the city does in keeping up infrastructure, streets, parks, and retaining good employees. The benefits of having Grinnell College here.",,,,
11/11/22 14:03,6,"Safety, high quality neighborhoods.",The people.,"Working on the Air Show stands out.  But, there are so many things I could list ",,"It is candidly, a bit eclectic with the College having their priorities and small town Iowa having theirs. ","Yes.  Lack of entertainment, schools in disrepair, and lack of housing options. ",,Not really. ,"Lack of unity for school infrastructure improvement, lack of housing, lack of places to dine. ",See previous answer,See above,N/A,"We are a national insurance advisor firm that located in Grinnell in 2021.  We currently have ten employees working at our location with four residing in Poweshiek County.  I am not sure about club affiliations, but we have members of OPTIMIST, sat on several boards and committees, regularly volunteer and donate to the Grinnell Community. ",People seem to fail to recognize how far we have come in the past 20-years.  ,No,,,
11/11/22 15:20,7,I don't live here but do work in the community.  Love the esthetics and the collaboration that seems to take place!,Watching the partnership that take place in the community.,"Restoration during the Derecho, partnership activities",,To be a welcoming community and provide a great quality of life for all who live/work here.,"I do not live in Grinnell.  But if I were looking to relocate, I would definitely consider the community.",,n/a,n/a,More shopping and restaurants,Clean up portions of town that need it,"Our family is happy in Marshalltown but if we were open to moving, Grinnell would be on the list.",Key Account Manager - Alliant Energy,The people are amazing!,,,,
11/12/22 18:43,8,Friendly people. Grinnell Area Arts Council.  Good public school system. Pleasant well maintained public parks. Bicycle trails. Well maintained downtown. Saints Rest Coffeehouse. McNally's. Solera. Grinnell Craft Brewhouse. Bikes To You. Ace Hardware. Grinnell College. Prairie Canary. Music in the Park. Grinnell Regional Medical Center. Responsible employers and community partners such as Grinnell Mutual Reinsurance.,Good quality local restaurants. Public events. A variety of local shopping options.,Attending events such music in the park.,,"I think there are a variety of constituencies, groups, organizations, employers, etc. who want to contribute to improving the community of Grinnell. However, I am uncertain if there is a consistent core set of values among them . . . none come to mind. Identifying them might require a gathering of knowledgeable representatives from a wide variety of groups in the community.",Employment. Quality/cost of housing. Quality of life. Reasonable distance to Des Moines and Iowa City for entertainment options offered by larger communities. ,,Closer proximity to a greater number and variety of entertainment and restaurant options. Closer proximity to parents and children who live elsewhere.,Lack of a full-service men's clothing store. Limited number and variety of restaurant options. Limited number of entertainment options. State of repair of some of the neighborhood streets. Lack of consistent sidewalks . . . would be nice if Grinnell was more pedestrian friendly. ,"As mentioned earlier, more shopping, restaurant, entertainment options.","More affordable housing to attract good quality people to work in local businesses. Improved wages and benefits to attract good quality people to work in local businesses. Additional improvements to make Grinnell more pedestrian friendly. Additional pedestrian/bicycle trails. More regular street and sidewalk maintenance. I applaud the City of Grinnell for more consistently improving and more regularly repairing the downtown streets, sidewalks, and public areas, and keeping the downtown area in good repair and looking nice. I would like to see this happen throughout the City of Grinnell.",,Grinnell Community Resident,"Misconceptions on the part of people in the community related to Grinnell College . . . potential lack of understanding among average people. Recent racially motivated/related incidents are particularly concerning. Although, not the only issues of concern. I think greater understanding of the ""other"" by both people at Grinnell College and non-college affiliated community members would be helpful.","I hope there are similar conversations taking place with employers in Grinnell and potential employers, specifically focused on the needs of people who hire employees. More robust employment opportunities; better pay and benefits; supportive cost appropriate housing opportunities; and local transportation, including pedestrians locally, are fundamental contributors to the general quality of life and vibrancy of any community.",,,
11/13/22 8:10,9,"Community size, not too small, not too big.","Sporting events, and being able to work right in town.","Being able to give back:  coaching, helping a neighbor in need.",,"At some level.  Upgrades at central park, football field, and swimming pool have been important to Grinnell residents.  For the various committees or community groups seem to have some of the same people on it.  I'd suggest trying to branch out to have a more diverse background on committees:  race, gender, income level, etc.",Children in the school district.,,"For many years, I worked out of town.  Considered cheaper living, housing, taxes, etc.","Not too much.  It does seem as we cater to the college.  The college is huge part of Grinnell, but some happy medium should be in place.  Even at school, if someone associated with the college has a concern, we jump on it right away.  If a lower income family has a concern, we may not act in the same fashion.",My needs are met for the most part.  I am always amazed by Williamsburg's Recreation Center.,"I'm not a fan of the amount of trash I come across in the community.  We need trash cans at places like Arbor lake (it may be one more thing a city worker may have to do).  I did notice an overflow in the trash can the last time I was at Lake Nyanza.  Trash lying around our schools is tacky.  Maybe more education in our schools about prevention, etc.  I'm not sure if there is some type of committee out there (something other than once a year on Earth Day).  

From a safety standpoint, the ballfields at Ahrens Park are overdue for some repairs and updates.  I would also like to see more safety measures in place to protect folks from foul balls, rain, heat, etc.  Some things such as a grandstand, shelter, more netting, etc.

Utilize the Merrill Park ball field more.  It gets weeded over, looks bad, unsafe to use for a ball team.

Mental health resources and juvenile court system is a concern.  We need more resources or options for our children and juvenile delinquents.  Even our for adults.  Taking our serve mental health residents to the ER at the hospital isn't the best option.  We need more supports in place.",N/A,Parent,"Our schools are doing a lot of great things.  Keep promoting that, and keep educating the school staff on how to improve and get better.  

Do some of our local committees have open house nights?  Recruit new members or hear the voices of our residents.",This is a good survey.  It seems as there are many things in place to make Grinnell a better place.  How can you get this survey to folks who may not see it?  I just happened to come a crossed it in the Grinnell Herald in which I don't read very often.,,,
11/13/22 16:27,10,That I can walk to places.  That people are friendly. ,"Availability of parks, paths, shops, and people.  Great organizations trying hard to improve things.","I'm always glad for organizations like the LWV, Imagine Grinnell, and the CDAF/GPCF that work year in and year out to make the community better.  I was so happy during the pandemic when a bunch of groups and individuals got together and worked to provide food assistance to people who needed it; I'm impressed that the work continues.
",,"I think that individuals and groups are very focused on improving life in the this place, and that's impressive.",I've lived here a long time and treasure my friends and acquaintances.,,"The smell from nearby animal operations.
",Not much,"More support for the Arts Council and other entities that provide activities, classes, and events. More paths and better sidewalks.","I'd give much of it to the Arts Council, and then distribute the rest to MICA, the CDAF/GPCF, LWV, and let them all have a go at it.",,Retired after 38 years teaching in the Writing Lab at Grinnell College.  Chair of Bucket Course committee.  ,"There are political divisions that don't get discussed much, at least from what I've seen.  I don't know whether that lack of discussion is a positive or negative.  I also worry that too many people criticize the College; while I understand that there is always friction between town and gown in any community, I worry that much of what the College does for the community seems under-appreciated.",Can we get a good walking path in the park at Lake Nyanza?  Can we make sure that kids in the community have equal opportunity to participate in extracurriculars (the GNSF is working on this); can we agree that public education is vital and that we need to support our public school system if the community is to remain strong.,,,
